file_name,type_name,type_id
MSS0000002,가죽,8
MSS0000003,가죽,8
MSS0000004,가죽,8
MSS0000005,가죽,8
MSS0000006,가죽,8
MSS0000007,가죽,8
MSS0000010,가죽,8
MSS0000013,가죽,8
MSS0000014,가죽,8
MSS0000015,가죽,8
MSS0000019,가죽,8
MSS0000023,가죽,8
MSS0000026,가죽,8
MSS0000027,가죽,8
MSS0000028,가죽,8
MSS0000032,가죽,8
MSS0000035,가죽,8
MSS0000036,가죽,8
MSS0000037,가죽,8
MSS0000042,가죽,8
MSS0000046,가죽,8
MSS0000048,가죽,8
MSS0000050,가죽,8
MSS0000052,가죽,8
MSS0000053,가죽,8
MSS0000056,가죽,8
MSS0000059,가죽,8
MSS0000061,가죽,8
MSS0000062,가죽,8
MSS0000063,가죽,8
MSS0000066,가죽,8
MSS0000070,가죽,8
MSS0000071,가죽,8
MSS0000076,가죽,8
MSS0000079,가죽,8
MSS0000080,가죽,8
MSS0000081,가죽,8
MSS0000084,가죽,8
MSS0000093,가죽,8
MSS0000096,가죽,8
MSS0000098,가죽,8
MSS0000100,가죽,8
MSS0000102,가죽,8
MSS0000104,가죽,8
MSS0000108,가죽,8
MSS0000111,가죽,8
MSS0000113,가죽,8
MSS0000120,가죽,8
MSS0000121,가죽,8
MSS0000125,가죽,8
MSS0000126,가죽,8
MSS0000127,가죽,8
MSS0000131,가죽,8
MSS0000134,가죽,8
MSS0000145,가죽,8
MSS0000147,가죽,8
MSS0000148,가죽,8
MSS0000152,가죽,8
MSS0000154,가죽,8
MSS0000158,가죽,8
MSS0000159,가죽,8
MSS0000164,가죽,8
MSS0000166,가죽,8
MSS0000167,가죽,8
MSS0000170,가죽,8
MSS0000171,가죽,8
MSS0000175,가죽,8
MSS0000177,가죽,8
MSS0000179,가죽,8
MSS0000181,가죽,8
MSS0000185,가죽,8
MSS0000186,가죽,8
MSS0000187,가죽,8
MSS0000190,가죽,8
MSS0000192,가죽,8
MSS0000193,가죽,8
MSS0000195,가죽,8
MSS0000196,가죽,8
MSS0000197,가죽,8
MSS0000199,가죽,8
MSS0000205,가죽,8
