file,main_category,sub_category,색상,소재,기장,디테일,핏,소매기장,넥라인,프린트,옷깃,old_type_id,type_id
560358_3.png,원피스,드레스,,['가죽'],,,,,,,,1,8
595006_1.png,상의,티셔츠,그레이,['가죽'],,,,,,,,1,8
595016_1.png,상의,티셔츠,그레이,['가죽'],,,,,,,,1,8
595026_1.png,상의,티셔츠,블랙,['가죽'],,,,,,,,1,8
595036_1.png,상의,티셔츠,블랙,['가죽'],,,,,,,,1,8
1240598_3.png,원피스,드레스,블랙,['가죽'],,,,,,,,1,8
353457_4.png,아우터,재킷,브라운,['가죽'],,,,,,,,1,8
320485_4.png,아우터,코트,블랙,['가죽'],,,,,,,,1,8
191920_2.png,하의,래깅스,블랙,['가죽'],,,,,,,,1,8
164001_4.png,아우터,재킷,블랙,['가죽'],노말,['지퍼'],타이트,긴팔,라운드넥,,,1,8
248882_4.png,아우터,재킷,브라운,['가죽'],하프,['지퍼'],오버사이즈,긴팔,,['무지'],테일러드칼라,1,8
248978_4.png,아우터,코트,화이트,['가죽'],하프,['지퍼'],노멀,긴팔,터틀넥,['무지'],,1,8
366588_4.png,아우터,점퍼,블랙,['가죽'],하프,"['포켓', '버클', '단추']",노멀,긴팔,,['무지'],셔츠칼라,1,8
67441_2.png,하의,스커트,블랙,['가죽'],미디,"['플레어', '버클']",노멀,,,,,1,8
797065_4.png,아우터,점퍼,블랙,['가죽'],노말,,노멀,긴팔,,['무지'],,1,8
89002_4.png,아우터,재킷,블랙,['가죽'],노말,"['스터드', '지퍼']",노멀,긴팔,,['무지'],테일러드칼라,1,8
1212063_2.png,하의,팬츠,블랙,['가죽'],미니,,와이드,,,['무지'],,1,8
1245099_2.png,하의,스커트,블랙,['가죽'],미니,['슬릿'],노멀,,,['무지'],,1,8
1271504_2.png,하의,팬츠,와인,['가죽'],발목,,루즈,,,['무지'],,1,8
168665_2.png,하의,스커트,블랙,['가죽'],니렝스,['슬릿'],노멀,,,['무지'],,1,8
194583_2.png,하의,스커트,블랙,['가죽'],미니,['스터드',,,,,,1,8
194828_2.png,하의,스커트,블랙,['가죽'],미니,['띠',,,,,,1,8
265625_2.png,하의,팬츠,브라운,['가죽'],발목,,루즈,,,['무지'],,1,8
319699_4.png,아우터,재킷,블랙,['가죽'],하프,['단추',,,,,,1,8
325058_2.png,하의,스커트,브라운,['가죽'],미디,,노멀,,,['무지'],,1,8
325068_2.png,하의,스커트,브라운,['가죽'],미디,,노멀,,,['무지'],,1,8
325078_2.png,하의,스커트,브라운,['가죽'],미디,,노멀,,,['무지'],,1,8
